,Open,High,Low,Close,Adj Close,Volume,Dividend
2004-12-31,45.28,46.0,43.2,43.8,43.8,60814200.0,0.0
2005-01-31,42.98,43.17,41.7,42.22,42.22,35610700.0,0.0
2005-02-28,42.09,43.74,41.02,43.52,43.52,40152200.0,0.0
2005-03-31,43.3,44.67,42.35,42.82,42.82,41040900.0,0.0
2005-04-29,42.6,43.7,42.16,43.35,43.35,38296900.0,0.0
2005-05-31,43.13,43.17,41.33,41.65,41.65,31856300.0,0.0
2005-06-30,41.41,44.13,41.4,43.44,43.44,36150800.0,0.0
2005-07-29,43.4,43.4,41.7,42.82,42.82,33962600.0,0.0
2005-08-31,43.08,44.72,42.81,43.4,43.4,32272700.0,0.0
2005-09-30,43.93,47.23,43.85,46.7,46.7,44606800.0,0.0
2005-10-31,46.62,47.72,45.83,46.4,46.4,45492200.0,0.0
2005-11-30,46.07,49.99,45.32,49.1,49.1,37105500.0,0.0
2005-12-30,49.63,53.76,48.8,51.58,51.58,79414500.0,0.0
2006-01-31,52.29,57.05,52.1,56.7,56.7,103756000.0,0.0
2006-02-28,56.83,57.3,53.33,56.07,56.07,86811500.0,0.0
2006-03-31,56.02,58.7,53.15,58.1,58.1,92482300.0,0.0
2006-04-28,58.63,65.27,58.0,65.09,65.09,117311500.0,0.0
2006-05-31,65.72,72.26,62.65,64.23,64.23,255944400.0,0.0
2006-06-30,62.42,65.56,55.05,61.23,61.23,191153000.0,0.0
2006-07-31,61.99,66.42,59.83,63.16,63.16,139236581.0,0.0
2006-08-31,62.92,65.22,60.3,62.29,62.29,97487400.0,0.0
2006-09-29,61.95,63.63,56.66,59.47,59.47,94856100.0,0.0
2006-10-31,59.8,60.65,55.55,60.24,60.24,82066900.0,0.0
2006-11-30,61.03,64.43,60.68,64.39,64.39,108084200.0,0.0
2006-12-29,64.21,64.55,60.65,63.21,63.21,77057300.0,0.0
2007-01-31,63.58,64.9811,59.66,64.83,64.83,100252400.0,0.0
2007-02-28,65.45,68.33,63.8,66.48,66.48,118833393.0,0.0
2007-03-30,66.1,66.75,62.62,65.74,65.74,131558723.0,0.0
2007-04-30,65.34,68.73,65.03,67.09,67.09,90150400.0,0.0
2007-05-31,66.7722,68.46,64.52,65.54,65.54,88276000.0,0.0
2007-06-29,66.19,66.76,63.39,64.27,64.27,81642900.0,0.0
2007-07-31,64.51,68.0,63.88,65.79,65.79,99593500.0,0.0
2007-08-31,65.5,67.54,63.47,66.52,66.52,127874000.0,0.0
2007-09-28,66.74,73.8,66.59,73.51,73.51,173416900.0,0.0
2007-10-31,73.49,78.95,71.24,78.62,78.62,164514000.0,0.0
2007-11-30,78.4,83.63,76.11,77.32,77.32,198227325.0,0.0
2007-12-31,77.5299,83.02,77.3,82.46,82.46,129953013.0,0.0
2008-01-31,83.56,92.58,83.44,91.4,91.4,255399497.0,0.0
2008-02-29,91.71,96.24,87.3,96.18,96.18,197997028.0,0.0
2008-03-31,97.63,100.44,89.78,90.41,90.41,326343841.0,0.0
2008-04-30,87.86,93.71,85.11,86.65,86.65,249342603.0,0.0
2008-05-30,84.24,92.11,83.57,87.45,87.45,189122532.0,0.0
2008-06-30,87.44,91.9,84.83,91.4,91.4,215864907.0,0.0
2008-07-31,92.52,97.5,88.08,90.08,90.08,341074242.0,0.0
2008-08-29,89.5,90.45,76.61,81.71,81.71,294888068.0,0.0
2008-09-30,78.16,92.0,72.51,85.07,85.07,509606721.0,0.0
2008-10-31,86.23,90.8397,66.0,71.34,71.34,433711131.0,0.0
2008-11-28,71.34,81.72,68.81,80.31,80.31,223461157.0,0.0
2008-12-31,77.15,87.1,72.91,86.52,86.52,241674057.0,0.0
2009-01-30,85.93,91.49,78.87,91.31,91.31,308754832.0,0.0
2009-02-27,89.88,98.99,86.0,92.63,92.63,502968796.0,0.0
2009-03-31,93.42,94.77,86.83,90.28,90.28,459731540.0,0.0
2009-04-30,91.34,91.38,84.92,87.27,87.27,268671380.0,0.0
2009-05-29,86.75,96.35,86.692,96.2,96.2,270664270.0,0.0
2009-06-30,96.47,96.9699,89.95,91.18,91.18,299645960.0,0.0
2009-07-31,92.31,97.8,88.82,93.35,93.35,204032530.0,0.0
2009-08-31,94.14,95.25,91.28,93.4,93.4,154642336.0,0.0
2009-09-30,93.41,100.08,93.06,98.85,98.85,326947558.0,0.0
2009-10-30,98.84,104.7,97.74,102.53,102.53,357679075.0,0.0
2009-11-30,103.5,116.88,103.25,115.64,115.64,403084755.0,0.0
2009-12-31,117.3,119.54,105.312,107.31,107.31,568974418.0,0.0
2010-01-29,109.82,113.59,105.18,105.96,105.96,346912467.0,0.0
2010-02-26,106.64,110.39,102.28,109.43,109.43,367551641.0,0.0
2010-03-31,109.48,112.18,106.24,108.95,108.95,326016321.0,0.0
2010-04-30,109.97,115.7,109.92,115.36,115.36,274086595.0,0.0
2010-05-28,115.91,122.235,113.312,118.881,118.881,504378655.0,0.0
2010-06-30,119.88,123.56,117.05,121.68,121.68,325799445.0,0.0
2010-07-30,120.91,121.03,113.08,115.49,115.49,275442060.0,0.0
2010-08-31,116.12,122.95,115.2,122.08,122.08,214634560.0,0.0
2010-09-30,122.15,128.28,121.15,127.91,127.91,267043881.0,0.0
2010-10-29,128.72,134.85,127.91,132.62,132.62,364810958.0,0.0
2010-11-30,132.85,139.15,129.48,135.42,135.42,407136273.0,0.0
2010-12-31,135.71,139.54,132.86,138.72,138.72,305372140.0,0.0
2011-01-31,138.67,139.0,127.8,129.87,129.87,352872260.0,0.0
2011-02-28,130.52,138.2,129.28,137.661,137.661,238737914.0,0.0
2011-03-31,138.57,141.28,135.23,139.86,139.86,306236931.0,0.0
2011-04-29,138.65,153.03,137.72,152.37,152.37,303507790.0,0.0
2011-05-31,151.46,153.61,142.55,149.64,149.64,382300704.0,0.0
2011-06-30,149.66,151.86,145.2,146.001,146.001,291125005.0,0.0
2011-07-29,144.76,159.25,143.97,158.29,158.29,329554341.0,0.0
2011-08-31,157.4701,184.82,156.78,177.72,177.72,767123649.0,0.0
2011-09-30,177.44,185.85,154.19,158.06,158.06,495584254.0,0.0
2011-10-31,161.09,170.29,155.27,167.34,167.34,271077508.0,0.0
2011-11-30,164.03,175.46,162.07,170.13,170.13,284747173.0,0.0
2011-12-30,169.8499,170.8,148.27,151.99,151.99,292241988.0,0.0
2012-01-31,154.76,169.86,154.55,169.31,169.31,223063572.0,0.0
2012-02-29,169.75,174.0,164.0,164.286,164.286,259331158.0,0.0
2012-03-30,166.1,167.72,158.13,162.12,162.12,272493964.0,0.0
