symbol,side,qty,order_type,target_date,model
GLD,BUY,100,market,2025-10-30,logistic
GLD,SELL,100,market,2025-10-30,knn
GLD,SELL,100,market,2025-10-30,mlp
GLD,SELL,100,market,2025-10-30,xgb
GLD,SELL,100,market,2025-10-31,logistic
GLD,SELL,100,market,2025-10-31,rf
GLD,SELL,100,market,2025-10-31,knn
GLD,BUY,100,market,2025-10-31,xgb
GLD,SELL,100,market,2025-10-31,lgb
GLD,SELL,100,market,2025-11-03,logistic
GLD,SELL,100,market,2025-11-03,rf
GLD,SELL,100,market,2025-11-03,knn
GLD,SELL,100,market,2025-11-03,mlp
GLD,BUY,100,market,2025-11-03,xgb
GLD,SELL,100,market,2025-11-04,rf
GLD,SELL,100,market,2025-11-04,knn
GLD,SELL,100,market,2025-11-04,mlp
GLD,SELL,100,market,2025-11-04,xgb
GLD,SELL,100,market,2025-11-04,lgb
GLD,SELL,100,market,2025-11-05,logistic
GLD,BUY,100,market,2025-11-05,rf
GLD,BUY,100,market,2025-11-05,knn
GLD,SELL,100,market,2025-11-05,mlp
GLD,BUY,100,market,2025-11-05,xgb
GLD,BUY,100,market,2025-11-05,lgb
